# dataset: GeoCSV 2.0
# delimiter: ,
# SID: UU_WTU_01_EHZ
# sample_count: 18001
# sample_rate_hz: 100
# start_time: 2020-03-18T13:08:37.000000Z
# field_unit: Counts
# field_type: INTEGER
Sample
773
1043
1310
1513
1604
1547
1334
976
506
-27
-571
-1045
-1403
-1613
-1689
-1673
-1621
-1576
-1550
-1525
-1453
-1282
-972
-517
60
689
1293
1769
2037
2044
1784
1313
707
68
-511
-949
-1211
-1280
-1176
-941
-624
-284
38
300
475
550
530
435
295
146
15
-68
-106
-109
-101
-108
-147
-217
-297
-352
-343
-246
-55
207
504
790
1022
1168
1207
1135
967
739
479
219
-16
-213
-384
-543
-705
-875
-1040
-1157
-1185
-1090
-862
-538
-165
190
472
655
746
777
787
804
829
840
802
682
477
208
-79
-317
-458
-474
-364
-159
94
342
529
613
563
373
58
-338
-747
-1090
-1303
-1338
-1188
-889
-499
-100
267
561
776
911
974
969
903
780
598
368
86
-231
-567
-886
-1154
-1329
-1384
-1321
-1176
-1024
-938
-968
-1106
-1289
-1406
-1342
-1016
-417
402
1299
2135
2779
3146
3215
3023
2639
2145
1613
1085
601
156
-252
-620
-936
-1177
-1303
-1278
-1081
-722
-267
200
573
770
754
544
208
-160
-474
-686
-783
-796
-762
-712
-656
-577
-462
-302
-113
75
218
295
291
208
57
-150
-388
-628
-821
-914
-855
-614
-197
348
925
1446
1818
1992
1975
1811
1574
1319
1073
833
581
293
-37
-401
-779
-1146
-1460
-1697
-1829
-1829
-1679
-1360
-887
-306
303
846
1218
1362
1255
919
430
-127
-638
-1008
-1176
-1132
-914
-585
-210
164
503
809
1072
1278
1407
1434
1345
1145
856
518
178
-128
-371
-542
-643
-684
-660
-563
-382
-110
222
582
896
1090
1102
911
552
89
-384
-782
-1047
-1172
-1185
-1142
-1097
-1084
-1095
-1101
-1055
-911
-659
-304
103
498
813
999
1023
892
646
339
45
-183
-314
-344
-294
-192
-57
112
324
592
902
1229
1518
1710
1767
1674
1460
1165
836
508
196
-111
-434
-788
-1178
-1589
-1973
-2291
-2484
-2510
-2341
-1966
-1401
-688
103
897
1572
2058
2293
2265
2016
1610
1141
688
304
16
-165
-255
-267
-216
-125
-27
39
30
-77
-289
-561
-833
-1022
-1059
-911
-593
-170
263
606
782
749
518
138
-314
-749
-1106
-1323
-1378
-1277
-1043
-711
-309
146
634
1128
1603
2003
2261
2315
2118
1676
1030
268
-500
-1145
-1578
-1733
-1607
-1259
-769
-249
232
615
869
979
955
820
617
402
220
106
52
33
8
-61
-197
-401
-652
-920
-1175
-1377
-1511
-1562
-1526
-1402
-1190
-905
-561
-176
230
620
972
1257
1448
1526
1491
1358
1160
931
701
500
332
195
86
-1
-63
-89
-61
38
221
466
739
977
1122
1128
994
750
445
132
-166
-433
-687
-935
-1174
-1383
-1541
-1626
-1627
-1552
-1411
-1220
-979
-689
-349
23
406
751
1015
1172
1219
1176
1080
970
861
760
652
526
364
154
-116
-434
-785
-1119
-1382
-1509
-1448
-1167
-667
3
766
1487
2075
2436
2522
2320
1843
1144
295
-601
-1435
-2059
-2390
-2381
-2049
-1474
-741
25
730
1285
1625
1702
1508
1064
434
-276
-949
-1443
-1651
-1529
-1102
-483
199
797
1194
1317
1152
732
141
-510
-1121
-1580
-1849
-1908
-1777
-1484
-1054
-514
105
762
1407
1957
2359
2555
2519
2256
1802
1228
620
68
-365
-635
-760
-783
-763
-748
-756
-780
-791
-762
-677
-547
-386
-208
-14
200
447
713
969
1161
1223
1103
785
283
-355
-1056
-1758
-2367
-2802
-2993
-2891
-2484
-1795
-892
120
1110
1974
2612
2979
3070
2912
2555
2044
1427
745
50
-616
-1191
-1615
-1851
-1897
-1780
-1546
-1240
-891
-524
-140
256
652
1030
1363
1605
1722
1688
1494
1163
720
222
-276
-713
-1046
-1239
-1301
-1253
-1127
-947
-728
-470
-170
167
527
875
1187
1442
1627
1743
1793
1773
1670
1460
1106
604
-37
-766
-1499
-2133
-2591
-2821
-2815
-2606
-2243
-1797
-1313
-833
-387
10
367
683
967
1222
1436
1580
1626
1540
1319
992
609
242
-55
-259
-385
-480
-598
-769
-974
-1152
-1225
-1118
-803
-305
299
888
1369
1677
1796
1762
1643
1508
1416
1382
1388
1387
1315
1120
767
267
-363
-1059
-1747
-2354
-2830
-3130
-3257
-3221
-3042
-2747
-2348
-1856
-1272
-592
188
1015
1844
2580
3121
3377
3310
2927
2297
1530
736
47
-487
-846
-1049
-1138
-1166
-1169
-1158
-1110
-987
-767
-447
-61
336
680
933
1061
1066
973
828
680
570
504
464
407
287
68
-265
-697
-1197
-1685
-2100
-2373
-2452
-2310
-1942
-1381
-687
55
768
1356
1772
1991
2004
1833
1505
1069
578
96
-306
-544
-582
-409
-66
367
814
1179
1391
1409
1221
865
395
-119
-614
-1035
-1365
-1599
-1755
-1848
-1876
-1807
-1596
-1211
-645
44
788
1468
1972
2230
2224
2010
1680
1338
1063
875
741
593
359
-11
-537
-1165
-1835
-2432
-2849
-2980
-2763
-2188
-1313
-270
781
1629
2155
2295
2088
1660
1162
742
481
374
354
323
191
-75
-450
-844
-1155
-1290
-1209
-942
-572
-230
-18
-10
-218
-585
-1013
-1370
-1537
-1440
-1055
-437
332
1143
1883
2441
2756
2772
2489
1949
1230
464
-234
-766
-1077
-1172
-1111
-980
-863
-812
-843
-937
-1066
-1203
-1326
-1417
-1452
-1396
-1204
-848
-320
332
1042
1717
2267
2623
2763
2688
2433
2043
1553
1012
440
-128
-659
-1099
-1412
-1559
-1532
-1347
-1030
-631
-194
240
627
926
1115
1172
1109
958
761
569
403
275
168
56
-85
-258
-439
-591
-675
-676
-603
-492
-390
-340
-357
-427
-504
-530
-460
-285
-38
207
363
355
155
-208
-645
-1041
-1296
-1337
-1171
-850
-459
-90
194
351
381
307
173
20
-123
-245
-353
-447
-529
-580
-570
-459
-224
118
529
939
1282
1501
1578
1518
1353
1126
875
643
445
289
169
72
-34
-184
-406
-689
-982
-1174
-1165
-879
-317
437
1249
1938
2345
2381
2053
1465
756
68
-492
-876
-1090
-1164
-1146
-1082
-993
-880
-722
-499
-209
118
450
725
889
898
735
417
-16
-501
-967
-1332
-1523
-1474
-1158
-600
128
881
1523
1913
1969
1685
1123
414
-286
-845
-1182
-1276
-1178
-967
-730
-530
-390
-308
-260
-224
-181
-128
-66
7
97
209
344
475
556
534
364
45
-389
-861
-1270
-1520
-1555
-1359
-964
-430
183
805
1398
1903
2264
2405
2275
1844
1140
258
-666
-1440
-1926
-2029
-1754
-1196
-483
228
815
1204
1376
1353
1193
960
714
498
331
223
168
152
161
184
219
265
332
425
541
666
767
809
752
583
298
-72
-494
-927
-1342
-1698
-1962
-2089
-2037
-1783
-1327
-721
-48
562
1008
1189
1062
650
34
-626
-1184
-1484
-1438
-1039
-349
489
1304
1941
2291
2308
2031
1553
980
415
-95
-522
-868
-1141
-1338
-1444
-1446
-1336
-1123
-840
-521
-209
81
357
652
988
1387
1832
2283
2670
2930
2982
2773
2276
1490
493
-635
-1774
-2801
-3601
-4121
-4326
-4229
-3875
-3308
-2593
-1764
-863
73
985
1838
2550
3047
3273
3204
2869
2336
1712
1102
613
296
166
183
261
288
162
-175
-707
-1359
-1985
-2464
-2682
-2591
-2215
-1621
-938
-268
295
702
944
1049
1060
1032
1017
1047
1127
1234
1330
1364
1297
1105
787
365
-127
-644
-1115
-1491
-1719
-1753
-1573
-1180
-616
43
694
1226
1515
1504
1176
585
-155
-923
-1566
-1969
-2068
-1860
-1405
-781
-84
599
1185
1635
1911
2009
1958
1798
1584
1344
1099
840
556
217
-187
-647
-1124
-1571
-1900
-2056
-1995
-1711
-1244
-651
-30
524
936
1164
1192
1050
782
441
79
-268
-564
-781
-899
-903
-785
-562
-266
44
296
435
432
302
100
-105
-246
-294
-259
-179
-101
-55
-43
-43
-17
72
229
438
660
849
961
975
885
713
486
242
22
-155
-275
-344
-382
-413
-461
-533
-624
-709
-753
-728
-616
-423
-167
124
421
693
918
1076
1146
1120
1000
793
520
212
-95
-360
-548
-630
-597
-457
-241
7
222
346
324
134
-205
-643
-1071
-1403
-1558
-1505
-1270
-911
-519
-185
19
65
-30
-203
-364
-424
-327
-53
374
897
1442
1938
2310
2540
2621
2561
2377
2067
1628
1054
359
-420
-1183
-1852
