lat,lon,dep,x,y,mag
40.7396667,-112.0416667,9.23,15.102249,9.230000,1.5
40.7571667,-112.115,5.96,9.541268,5.960000,0.95
40.7503333,-112.042,7.8,15.352967,7.800000,0.12
40.7343333,-112.0566667,10.52,13.731906,10.520000,2.54
40.7451667,-112.0211667,8.56,16.928217,8.560000,1.22
40.7413333,-112.023,9.96,16.677895,9.960000,0.77
40.724,-112.0608333,9.3,13.120269,9.300000,0.29
40.7453333,-112.0498333,9.38,14.579706,9.380000,0.93
40.7396667,-112.0515,8.43,14.295122,8.430000,0.69
40.7338333,-111.974,8.4,20.505369,8.400000,0.48
40.728,-112.0823333,8.51,11.459700,8.510000,0.15
40.7428333,-112.0708333,3.5,12.790949,3.500000,0.49
40.73,-112.0361667,9.16,15.301767,9.160000,0.54
40.7273333,-112.077,8.11,11.880094,8.110000,0.61
40.7345,-112.0625,10.73,13.257431,10.730000,0.29
40.7231667,-112.0651667,8.43,12.742763,8.430000,0.94
40.7381667,-112.0441667,8.99,14.857936,8.990000,1.46
40.735,-112.0363333,9.72,15.418402,9.720000,1.33
40.7608333,-112.0975,9.5,11.072928,9.500000,0.24
40.744,-112.0456667,8.76,14.886910,8.760000,0.36
40.7156667,-112.0475,8.52,13.997619,8.520000,1.45
40.8086667,-111.9885,3.93,21.260896,3.930000,0.58
40.7103333,-112.0541667,10.21,13.311102,10.210000,0.37
40.7318333,-112.0295,8.88,15.896840,8.880000,1.79
40.7408333,-112.0516667,7.4,14.311866,7.400000,0.62
40.7303333,-112.0501667,7.93,14.161148,7.930000,0.64
40.726,-112.0653333,7.08,12.803029,7.080000,0.33
40.7286667,-112.0693333,8.39,12.544264,8.390000,1.03
40.7181667,-112.0631667,8.26,12.776482,8.260000,0.5
40.7263333,-112.0591667,8.03,13.317969,8.030000,1.22
40.7261667,-112.0623333,8,13.053661,8.000000,0.94
40.7223333,-112.0598333,8.53,13.158880,8.530000,0.74
40.7358333,-112.0503333,8.52,14.290910,8.520000,0.94
40.7488333,-112.0773333,6.69,12.414166,6.690000,0.15
40.719,-112.06,9.79,13.058224,9.790000,1.46
40.7318333,-112.068,9.43,12.736367,9.430000,0.38
40.7245,-112.0835,8.57,11.272507,8.570000,0.39
40.7175,-112.0706667,8.25,12.143304,8.250000,0.49
40.723,-112.0668333,5.75,12.601589,5.750000,0.22
40.7336667,-112.0471667,8.76,14.494346,8.760000,0.89
40.7356667,-112.0498333,8.85,14.327608,8.850000,0.36
40.7198333,-112.071,7.58,12.176850,7.580000,0.46
40.732,-112.0556667,6.94,13.753125,6.940000,0.96
40.7356667,-112.0713333,8.48,12.562823,8.480000,0.83
40.7278333,-112.0991667,8.87,10.073555,8.870000,0.21
40.7175,-112.0731667,6.73,11.938047,6.730000,0.08
40.7375,-111.9701667,7.91,20.915362,7.910000,0.8
40.7291667,-112.0536667,8.62,13.843399,8.620000,0.51
40.736,-112.0766667,9.31,12.133760,9.310000,0.39
40.7396667,-112.063,9.67,13.351216,9.670000,2.39
40.7418333,-112.07,8.46,12.833236,8.460000,0.76
40.7581667,-112.0645,8.87,13.710907,8.870000,0.24
40.7326667,-112.0603333,7.19,13.387448,7.190000,0.48
40.732,-112.0506667,10.66,14.163570,10.660000,0.27
40.7306667,-112.0496667,7.46,14.210889,7.460000,0.63
40.787,-111.9573333,9.38,23.254305,9.380000,0.3
40.7923333,-111.9513333,8.21,23.885005,8.210000,0.64
40.746,-112.0776667,6.37,12.312818,6.370000,0.79
40.729,-112.0693333,9,12.552964,9.000000,0.43
40.7388333,-112.0493333,7.83,14.451231,7.830000,0.29
40.7428333,-112.0698333,7.64,12.873021,7.640000,0.66
40.7491667,-112.0905,8.26,11.342394,8.260000,0.82
40.725,-112.0676667,8.44,12.585371,8.440000,0.36
40.7421667,-112.0653333,8.6,13.224951,8.600000,0.46
40.7448333,-112.0628333,9.45,13.499723,9.450000,1.76
40.7518333,-112.0626667,8.01,13.696064,8.010000,0.53
40.7413333,-112.0196667,7.28,16.951507,7.280000,0.93
40.7848333,-111.9621667,4.16,22.801494,4.160000,0.92
40.749,-112.0613333,5.38,13.731554,5.380000,0.04
40.7258333,-112.08,9.74,11.594651,9.740000,0.42
40.7421667,-112.0381667,9.27,15.454700,9.270000,0.16
40.7888333,-111.9565,5.33,23.370272,5.330000,0.37
40.748,-112.0375,10.26,15.661463,10.260000,0.21
40.7301667,-112.0481667,9,14.320988,9.000000,1.77
40.7685,-112.0893333,10.26,11.943287,10.260000,0.58
40.7155,-112.0851667,12.51,10.900585,12.510000,0.27
40.7205,-112.0881667,11.23,10.784907,11.230000,0.39
40.7136667,-112.0528333,9.8,13.507538,9.800000,0.46
40.7328333,-112.0811667,10.13,11.681699,10.130000,1.41
40.7911667,-111.9988333,2.6,19.958176,2.600000,0.49
40.7915,-111.997,5.36,20.117229,5.360000,0.58
40.767,-112.0981667,8.29,11.179425,8.290000,0.01
40.7453333,-112.0803333,10.33,12.076567,10.330000,0.4
40.7361667,-112.0673333,7.39,12.904198,7.390000,0.37
40.7696667,-112.0853333,9.27,12.301913,9.270000,0.25
40.7648333,-112.0913333,9.88,11.683399,9.880000,0.19
40.765,-112.0823333,9.93,12.426126,9.930000,0.92
40.7645,-112.1013333,7.36,10.854290,7.360000,0.49
40.7345,-112.0595,9.37,13.503684,9.370000,0.57
40.7671667,-112.1615,0.32,5.988582,0.320000,0.31
40.7393333,-112.0241667,6.53,16.530033,6.530000,0.38
40.7208333,-112.0748333,9.33,11.888245,9.330000,0.84
40.7155,-112.0656667,10.12,12.501627,10.120000,0.64
40.7146667,-112.0628333,9.23,12.712525,9.230000,0.38
40.7248333,-112.0841667,9.97,11.226483,9.970000,1.25
40.7328333,-112.0781667,9.54,11.927946,9.540000,0.47
40.7381667,-112.0258333,8.3,16.362839,8.300000,1.86
40.7371667,-112.0443333,10.08,14.818189,10.080000,0.24
40.735,-112.0768333,10.06,12.093973,10.060000,0.54
40.729,-112.073,9.39,12.251968,9.390000,0.45
40.7408333,-112.0588333,8.05,13.723647,8.050000,0.22
40.7733333,-112.1623333,0.5,6.081916,0.500000,0.06
40.7245,-112.0651667,9.48,12.777559,9.480000,1.23
40.7548333,-112.0433333,9.79,15.360867,9.790000,0.16
40.7618333,-112.0865,11.09,12.001552,11.090000,0.53
40.738,-112.0808333,7.88,11.844006,7.880000,0.36
40.743,-112.0581667,9.12,13.834888,9.120000,0.45
40.743,-112.0483333,6.97,14.641970,6.970000,0.8
40.7528333,-112.0801667,8.84,12.286117,8.840000,0.03
40.7296667,-112.056,8.2,13.664897,8.200000,1.08
40.7386667,-112.043,9.53,14.966738,9.530000,0.08
40.7475,-112.072,7.8,12.817029,7.800000,0.54
40.7541667,-112.0725,7.93,12.950047,7.930000,0.35
40.7311667,-112.0643333,8.92,13.019957,8.920000,0.66
40.7288333,-112.071,8.32,12.411794,8.320000,0.51
40.7261667,-112.0808333,8.61,11.534952,8.610000,0.08
